id,type,title,director,cast,country,date_added,release_year,rating,duration,genre,plataforma,duration_int,duration_type,score
as2773,movie,courageous love,daniel knudsen,"tim kaiser, holly houk, jessica koloian, kristina kaylen, patricia mauceri, jared withrow",Sin dato,Sin dato,2017,13+,100 min,drama,amazon,100,min,3.517897091722595
as2774,movie,courageous avenger,robert n. bradbury,"johnny mack brown, helen ericson, warner richmond, eddie parker, ed cassidy, frank ball",Sin dato,Sin dato,1935,13+,58 min,western,amazon,58,min,
as2781,movie,cosmos,"elliot weaver, zander weaver","tom england, arjun singh panam, joshua ford, ben vardy",Sin dato,Sin dato,2019,13+,129 min,action,amazon,129,min,
as2784,movie,corsair,roland west,"chester morris, thelma todd, fred kohler, ned sparks, emmett corrigan, william austin",Sin dato,Sin dato,1931,ALL,73 min,action,amazon,73,min,3.514130434782609
as2785,movie,corrie ten boom: a faith undefeated,robert fernandez,pam rosewell moore,Sin dato,Sin dato,2013,13+,58 min,documentary,amazon,58,min,
as2786,movie,corporate,nicolas silhol,"céline sallette, lambert wilson, stéphane de groodt, violaine fumeau, alice de lencquesaing",Sin dato,Sin dato,2017,13+,95 min,drama,amazon,95,min,3.548780487804878
as2787,movie,coronavirus pandemic,miles o'brien,miles o'brien,Sin dato,Sin dato,2020,G,53 min,documentary,amazon,53,min,3.5337552742616034
as2789,movie,coolie no. 1,david dhawan,"varun dhawan, sara ali khan, paresh rawal, javed jaffery, rajpal yadav, sahil vaid, johny lever, shikha talsania, vikas verma, anil dhawan, manoj joshi, bharti achrekar",india,Sin dato,2020,13+,135 min,comedy,amazon,135,min,3.549494949494949
as2790,movie,cool world,ralph bakshi,"kim basinger, gabriel byrne, brad pitt, michele abrams",united states,Sin dato,1992,PG-13,102 min,action,amazon,102,min,3.5814889336016096
as2791,movie,convention girl,luther reed,"shemp howard, rose hobart, weldon heyburn, herbert rawlinson, nell o'day",Sin dato,Sin dato,1935,13+,68 min,drama,amazon,68,min,3.5437636761487963
as2792,movie,contradiction: a question of faith,jeremiah camara,"jeremiah camara, lawrence krauss, greydon square, martin luther king iii, marissa langseth, lonnie plaxico, david orenstein, r. drew smith, ayanna watson, dan barker, anthony david, norm allen, mandisa thomas",Sin dato,Sin dato,2015,PG-13,90 min,documentary,amazon,90,min,3.466733870967742
as2795,movie,"congratulations, it's a boy!",william a. graham,"bill bixby, diane baker, jack albertson, tom bosley, ann southern, karen jensen",Sin dato,Sin dato,1971,G,79 min,comedy,amazon,79,min,3.519955654101996
as2796,movie,conflicted,"ak.reed films (amire k reed), duece king","benny the butcher, adiyon dashalon, duece king, nakia griffith",Sin dato,Sin dato,2021,18+,131 min,drama,amazon,131,min,3.4763440860215056
as2797,movie,concrete boom pump - truck tunes for kids,jim gardner,Sin dato,Sin dato,Sin dato,2016,G,3 min,kids,amazon,3,min,3.495029821073558
as2801,movie,coming out,alden peters,alden peters,Sin dato,Sin dato,2016,18+,72 min,documentary,amazon,72,min,3.553435114503817
as2802,movie,coming of age,gary crenshaw,"gary crenshaw, lionel culpepper, derrell cleveland, denzell manning, brittney lipsey, gabriella lee, guy bailey, james woods, antonio dorsey",Sin dato,Sin dato,2020,18+,95 min,action,amazon,95,min,3.5301455301455302
as2805,movie,come on rangers,joe kane,"roy rogers, lynne roberts, raymond hatton, j. farrell macdonald, purnell pratt",Sin dato,Sin dato,1938,13+,54 min,western,amazon,54,min,3.529591836734694
as2806,movie,come and get it,"howard hawks, william wyler, richard rosson","edward arnold, joel mccrea, frances farmer",Sin dato,Sin dato,1936,13+,100 min,drama,amazon,100,min,3.5823045267489717
as2808,movie,"colores y coches de carreras con max el tren, bill el camión monstruo y pete el camión - juguetes",Sin dato,Sin dato,Sin dato,Sin dato,2015,ALL,10 min,kids,amazon,10,min,
as2809,movie,colin quinn: unconstitutional,jay chapman,colin quinn,Sin dato,Sin dato,2015,18+,56 min,arts,amazon,56,min,3.451063829787234
as2810,movie,coldplay: a head full of dreams,mat whitecross,"guy berryman, jonny buckland, will champion, chris martin",united kingdom,Sin dato,2018,PG-13,105 min,documentary,amazon,105,min,3.5139442231075697
as2812,movie,coherence,james ward byrkit,"emily baldoni, maury sterling, nicholas brendon",Sin dato,Sin dato,2014,R,88 min,drama,amazon,88,min,3.5616016427104724
as2814,movie,code of the red man,edward finney,"ted adams, chief thurndercloud, rick vallin, dave o'brien, sally cairns",Sin dato,Sin dato,1942,18+,66 min,western,amazon,66,min,3.498913043478261
as2816,movie,coach of the year,don medford,"robert conrad, erin gray, red west, daphne reid, david raynr, ricky paull goldin, alex paez, radames torres, louis carello, dean hill, ed o'bradovich, joneal joplin, howard a. peters iii, calvin bradford, jos? 'little man' navarro, daniel brown, manuel ortiz, doug 'too tall' brown, kelin owens, terry brown, arnold palmer, stracotta busby, nathaniel partee, kenneth m. clay, philip perry, jeff diaz, steven plumly, harold earnest, mark pruett, glenn fasig, curtis rimsky, bernard gales, luis rivera, vincent garcia, fred rodgers, rodney george, william rogers, edward s. hatcher, jacob santana, dennis ligon, oscar santillanes, ricky lyda, melvin 'lamont' washington, anthony massie, james shoulders, david 'mad dog' mccall, james tate, muriel back, richard marx, ron botz, guy massey, kelly keefe, james d. o'reilly, jim keith, ron parady, bonnie sullivan, paul swearingen",Sin dato,Sin dato,1980,G,96 min,drama,amazon,96,min,3.53988326848249
as2817,movie,cloudburst,thom fitzgerald,"olympia dukakis, brenda fricker, ryan doucette",Sin dato,Sin dato,2013,18+,93 min,comedy,amazon,93,min,3.506097560975609
as2818,movie,close range,"isaac florentine, scott adkins","scott adkins, nick chinlund, caitlin keats, madison lawlor, scott evans, tony perez",Sin dato,Sin dato,2015,G,85 min,action,amazon,85,min,3.5386904761904763
as2819,movie,clockwork orange county,jonathan w.c. mills,"rikk agnew, tony alva, rodney bingenheimer",Sin dato,Sin dato,2012,16+,74 min,documentary,amazon,74,min,3.4545454545454546
as2820,movie,clip: lego batman gameplay,pusic entertainment,"batman, wonder woman, spider-man, superman, captain america, iron man",Sin dato,Sin dato,2017,ALL,4 min,kids,amazon,4,min,3.5264900662251657
